second,Q1 Count,Q2 Count,Q3 Count,Q4 Count
542,47,45,41,25
543,47,51,30,27
544,47,41,35,28
545,50,47,33,30
546,47,43,31,33
547,40,55,21,42
548,47,55,17,47
549,42,56,14,51
550,49,52,15,41
551,55,62,16,44
552,51,57,15,42
553,56,55,19,37
554,54,53,21,46
555,57,55,18,44
556,55,49,15,36
557,57,53,19,40
558,60,47,25,41
559,62,53,27,28
560,58,51,28,35
561,56,57,29,36
562,43,51,32,37
563,51,49,31,43
564,36,56,29,44
565,36,61,26,48
566,50,50,24,44
567,44,52,26,36
568,42,56,27,37
569,43,59,30,38
570,45,53,23,34
571,42,59,24,39
572,39,47,28,41
573,50,47,25,38
574,58,41,23,44
575,47,48,22,46
576,48,40,27,40
577,52,36,23,39
578,48,51,25,37
579,51,48,26,37
580,47,51,25,35
581,52,42,28,32
582,47,56,28,34
583,58,44,27,40
584,55,40,25,36
585,47,58,27,35
586,55,52,19,28
587,52,54,20,32
588,54,54,23,31
589,55,54,22,33
590,55,55,22,28
591,48,46,23,35
592,53,45,24,38
593,43,53,24,39
594,52,40,23,40
595,56,47,26,39
596,54,42,23,34
597,60,44,24,38
598,56,47,21,37
599,56,47,21,38
600,60,52,23,34
601,55,46,20,42
602,48,50,15,46
603,53,52,15,46
604,55,51,23,33
605,60,52,19,33
606,50,64,18,33
607,53,62,17,33
608,56,53,21,35
609,54,50,21,32
610,61,51,19,32
611,50,57,23,35
612,55,56,25,32
613,56,44,23,42
614,67,42,28,31
615,47,42,22,29
616,44,39,26,39
617,43,39,30,39
618,49,44,23,32
619,48,31,19,35
620,43,39,22,36
621,43,42,19,39
622,46,44,17,32
623,63,43,19,30
624,50,47,15,30
625,49,45,15,36
626,49,40,18,34
627,53,47,17,36
628,53,49,15,37
629,52,51,16,39
630,55,35,13,33
631,57,44,14,29
632,52,50,10,39
633,47,45,11,41
634,55,47,12,33
635,44,51,19,39
636,43,57,16,30
637,39,57,20,43
638,49,54,17,37
639,39,51,18,31
640,45,68,19,25
641,53,71,14,31
642,56,61,16,28
643,52,60,16,33
644,59,55,14,29
645,60,61,15,27
646,51,55,17,29
647,50,49,19,28
648,57,47,21,27
649,45,43,21,21
650,56,51,21,28
651,58,51,20,28
652,57,47,22,25
653,47,48,28,27
654,60,47,21,25
655,43,62,22,25
656,42,50,27,33
657,52,49,24,27
658,55,58,22,37
659,48,51,21,34
660,52,60,21,30
661,47,58,20,31
662,48,60,23,35
663,47,52,21,37
664,52,54,22,39
665,52,52,22,37
666,52,50,12,40
667,44,57,18,33
668,47,53,22,33
669,31,58,26,26
670,49,49,29,29
671,44,53,21,26
672,61,54,29,20
673,48,62,26,25
674,41,70,23,29
675,51,56,17,28
676,44,62,18,24
677,47,60,21,23
678,49,62,18,28
679,50,61,23,29
680,44,55,22,35
681,30,53,22,33
682,40,58,27,34
683,55,59,30,28
684,43,76,25,27
685,35,62,26,28
686,45,72,31,34
687,46,62,29,33
688,51,67,26,29
689,53,56,34,24
690,50,61,36,29
691,34,66,36,24
692,41,69,34,25
693,50,61,27,27
694,55,50,20,28
695,49,79,22,29
696,41,60,11,33
697,51,69,14,31
698,43,74,16,32
699,47,75,19,29
700,38,66,22,38
701,42,54,17,44
702,46,74,20,35
703,49,67,18,36
704,47,58,24,34
705,46,64,18,31
706,41,61,24,36
707,47,69,23,29
708,51,66,14,31
709,49,64,19,32
710,50,56,18,32
711,42,68,20,35
712,46,64,21,29
713,52,52,18,32
714,41,57,16,34
715,43,60,14,36
716,51,66,18,31
717,49,53,18,27
718,49,58,21,25
719,53,60,18,24
720,48,67,15,34
721,46,63,12,32
722,55,60,12,33
723,44,65,18,23
724,50,64,15,27
725,56,62,15,26
726,61,65,14,23
727,59,63,19,21
728,55,67,17,27
729,49,59,16,30
730,49,65,13,33
731,57,53,14,39
732,54,60,15,38
733,39,63,9,35
734,49,62,10,36
735,50,70,11,33
736,44,69,9,36
737,45,64,13,38
738,47,66,17,38
739,46,60,17,42
740,44,66,18,36
741,55,59,20,35
742,48,55,18,36
743,54,50,17,30
744,45,51,12,37
745,60,50,13,33
746,56,52,14,36
747,48,51,14,39
748,55,56,17,37
749,52,57,18,32
750,50,61,17,35
751,48,53,20,34
752,41,55,19,28
753,48,58,11,29
754,60,48,15,27
755,61,48,15,30
756,54,52,16,30
757,58,51,18,29
758,59,48,24,29
759,55,53,21,25
760,63,55,22,29
761,65,58,22,27
762,62,56,24,22
763,62,50,20,26
764,65,42,18,26
765,63,57,18,28
766,48,56,19,33
767,54,62,15,31
768,57,59,19,28
769,65,52,18,29
770,54,54,19,32
771,62,53,19,27
772,52,47,19,26
773,52,53,24,23
774,45,56,24,31
775,55,49,23,30
776,59,53,23,30
777,54,57,24,25
